"Name_@footnote","Name_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_Continuing_val","Cost_TotalCost_BudgetYearFive_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_PriorYear_val","Cost_Quantity_AllPriorYears_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_ToComplete_val","Cost_Quantity_Total_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_AllPriorYears_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_UnitCost_ToComplete_val","Cost_UnitCost_Total_val","Cost_UnitCost_BudgetYearOneOCO_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_Total_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_UnitCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_UnitCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_UnitCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_UnitCost_val","Cost_BudgetYearFive_Quantity_val","ManufacturerList_Manufacturer","AllPriorYearsDeliveries_val","IdCode_val","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Non-Recurring Cost: FY14 funding is for the AEA kit production line shutdown.","1.2.1) Non-Recur Cost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162.807","","","0.259","","","22.113","","","3.109","","","","3.109","","","","","","","","","","","","","","","","","","","","","","","","","48ed89541e261d9cb75ce9a922aa2ebc5b063b55-0-3866c5ad6f8d128b21aa2b6a23b37fd28c0886c5","48ed89541e261d9cb75ce9a922aa2ebc5b063b55","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","48ed89541e261d9cb75ce9a922aa2ebc5b063b55-0-23b5b9fb8fd8be455ffa031aa02ddd91b5a37a9e"
"","1.2.2) Ancillary Equip","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","287.954","","","48.13","","","41.381","","","67.994","","","","67.994","","","","","","","","","","","","","","","","","","","","","","","","","48ed89541e261d9cb75ce9a922aa2ebc5b063b55-1-6c30effde0c5fdac485db849cb2100379601a2de","48ed89541e261d9cb75ce9a922aa2ebc5b063b55","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","48ed89541e261d9cb75ce9a922aa2ebc5b063b55-0-23b5b9fb8fd8be455ffa031aa02ddd91b5a37a9e"
"","6.0  Nonrecurring Flyaway","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","709.339","","","0.000","","","0.000","","","0.000","","","","0.000","","","0.000","","","709.339","","","0.000","","","0.000","","","0.000","","","0.000","","","","","A","","502fbcba0fa1cceb38f2d530558410d6aaa5f1f6-0-33dfd9df8402a5d94708072e5a6b630140525b0c","502fbcba0fa1cceb38f2d530558410d6aaa5f1f6","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","502fbcba0fa1cceb38f2d530558410d6aaa5f1f6-0-07dae5937d2a8e9f26b922c8a5698492a46ed3c9"
"","7.0  Settlement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","281.329","","","","","","","","","","","","","","","","0.000","","","281.329","","","","","","","","","","","","","","","","","A","","502fbcba0fa1cceb38f2d530558410d6aaa5f1f6-1-51051a3b9674566f98d3ad3e74999558768e754e","502fbcba0fa1cceb38f2d530558410d6aaa5f1f6","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","502fbcba0fa1cceb38f2d530558410d6aaa5f1f6-0-07dae5937d2a8e9f26b922c8a5698492a46ed3c9"
"","Engineering Change Orders","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.954","","","2.557","","","","","","","","","","","","","0.000","","","5.511","","","","","","","","","","","","","","","","","B","","63a09f2d24509e3e49dc113e41bc696fedd4b156-0-985f6bc45aaaf8f2c934c61ec64b6912df5ac04d","63a09f2d24509e3e49dc113e41bc696fedd4b156","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","63a09f2d24509e3e49dc113e41bc696fedd4b156-0-1c19af84ab5e3500940993966de9d74d379dbaa4"
"","1.2.1) Non-Recurring Cost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","798.401","","","83.067","","","7.74","","","7.655","","","","7.655","","","","","","","","","","","","","","","","","","","","","","","","","65c971fd55e8a5e85798e3bc166f8e77e31f6276-0-7bf92f42f9c77b078b56876809e4663fb04d36e0","65c971fd55e8a5e85798e3bc166f8e77e31f6276","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","65c971fd55e8a5e85798e3bc166f8e77e31f6276-0-2f7cc3a1f5d6a3d564e066524169b3a71d3b0229"
"Increase in FY14 to Ancillary Equipment is to support squadron stand-up","1.2.2) Ancillary Equipment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.607","","","","","","8.036","","","12.099","","","","12.099","","","","","","","","","","","","","","","","","","","","","","","","","65c971fd55e8a5e85798e3bc166f8e77e31f6276-1-3a5139300ab370c6495db31e21d757485350b573","65c971fd55e8a5e85798e3bc166f8e77e31f6276","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","65c971fd55e8a5e85798e3bc166f8e77e31f6276-0-2f7cc3a1f5d6a3d564e066524169b3a71d3b0229"
"","1.2.3) Other","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","293.844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65c971fd55e8a5e85798e3bc166f8e77e31f6276-2-76a75575ca3f1a415cf61ba20265621d3dfdf0ff","65c971fd55e8a5e85798e3bc166f8e77e31f6276","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","65c971fd55e8a5e85798e3bc166f8e77e31f6276-0-2f7cc3a1f5d6a3d564e066524169b3a71d3b0229"
"","1.2.1) Non-Recur Cost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","121.881","","","3.818","","","3.741","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67caeb8d315d0ed255345a2869f9a0d338b5bc8a-0-49fe759da48af7792b57268def3c8e1f1bf4a95e","67caeb8d315d0ed255345a2869f9a0d338b5bc8a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","67caeb8d315d0ed255345a2869f9a0d338b5bc8a-0-156da2eb515453c55ac8ec71958defbb2914c6e4"
"All Ancillary crew-served weapons previously harvested from UH-1Ns at no-cost must be procured new, at cost, for all future lots beginning in FY 2014 Lot 11 due to unavailability of legacy aircraft.  Budgeted values for lots procured through FY 2013 reflect a cost avoidance from harvested components.","1.2.2) Ancillary Equip","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.748","","","1.638","","","3.351","","","4.277","","","","4.277","","","","","","","","","","","","","","","","","","","","","","","","","67caeb8d315d0ed255345a2869f9a0d338b5bc8a-1-5b63bbcbb99f6608523cf6f21d5cd33675763f0c","67caeb8d315d0ed255345a2869f9a0d338b5bc8a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","67caeb8d315d0ed255345a2869f9a0d338b5bc8a-0-156da2eb515453c55ac8ec71958defbb2914c6e4"
"","1.2.1) Non-Recur Cost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120.431","","","3.293","","","8.307","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67caeb8d315d0ed255345a2869f9a0d338b5bc8a-0-f4372fea1bd1334a764e3eca09e8e0606c8df6d5","67caeb8d315d0ed255345a2869f9a0d338b5bc8a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","67caeb8d315d0ed255345a2869f9a0d338b5bc8a-0-4d40dbc8144bb0c7ca0201f10b414c40ded7b074"
"","1.2.2) Ancillary Equip","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","147.338","","","37.604","","","51.835","","","39.358","","","","39.358","","","","","","","","","","","","","","","","","","","","","","","","","67caeb8d315d0ed255345a2869f9a0d338b5bc8a-1-8ecc45d6896b2398c880cd90bf62dc8629bd09de","67caeb8d315d0ed255345a2869f9a0d338b5bc8a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","67caeb8d315d0ed255345a2869f9a0d338b5bc8a-0-4d40dbc8144bb0c7ca0201f10b414c40ded7b074"
"","1.2.1) Non-Recur Cost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.25","","","1.875","","","","","","3.902","","","","3.902","","","","","","","","","","","","","","","","","","","","","","","","","6965dfb97bb79dbaee84057750ce56aa84bfd93d-0-2edd5a3855eb2d51c63bfd62e9be12d95c368be2","6965dfb97bb79dbaee84057750ce56aa84bfd93d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","6965dfb97bb79dbaee84057750ce56aa84bfd93d-0-443718c3bbf4b4f195cbb1baabd89506926ea1eb"
"","1.2.2) Ancillary Equip","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6965dfb97bb79dbaee84057750ce56aa84bfd93d-1-1330ebd80d7824626675d28552facb9534a40b29","6965dfb97bb79dbaee84057750ce56aa84bfd93d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","6965dfb97bb79dbaee84057750ce56aa84bfd93d-0-443718c3bbf4b4f195cbb1baabd89506926ea1eb"
"","1.2.3) Other","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6965dfb97bb79dbaee84057750ce56aa84bfd93d-2-14021985e394303cb0a4774788f5edf90b768313","6965dfb97bb79dbaee84057750ce56aa84bfd93d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","6965dfb97bb79dbaee84057750ce56aa84bfd93d-0-443718c3bbf4b4f195cbb1baabd89506926ea1eb"
"","Hardware NRE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","2.718","","","2.064","","","","2.064","","","","","","","","","","","","","","","","","","","","","","","","","7144e0845629d417c2134eb674d7c53063f2ff5c-0-3feb0a9583c8badb78a75e9f501728d46d0bf43b","7144e0845629d417c2134eb674d7c53063f2ff5c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","7144e0845629d417c2134eb674d7c53063f2ff5c-0-7f7b9cc76a4531b21fb4d82154234085faef0319"
"","Recurring Manufacturing - Manpack","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","287.314","62.609","4589","180.087","68.008","2648","","180.087","68.008","2648","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-7144e0845629d417c2134eb674d7c53063f2ff5c-1-bff376b5aaf2961d60149db204d5208b197224d9","","","","7144e0845629d417c2134eb674d7c53063f2ff5c-1-0897dcb4efcf36fe20c728a88a6164e38f050354","7144e0845629d417c2134eb674d7c53063f2ff5c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","7144e0845629d417c2134eb674d7c53063f2ff5c-0-7f7b9cc76a4531b21fb4d82154234085faef0319"
"","Recurring Manufacturing - SFF-B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","14.164","29.819","475","12.434","26.177","475","","12.434","26.177","475","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-7144e0845629d417c2134eb674d7c53063f2ff5c-2-20129c89e1390f99eb5fddc427b28774a1bafc5a","","","","7144e0845629d417c2134eb674d7c53063f2ff5c-2-ec7cbd0e34799aaceebf8d819934615ab85e38eb","7144e0845629d417c2134eb674d7c53063f2ff5c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","7144e0845629d417c2134eb674d7c53063f2ff5c-0-7f7b9cc76a4531b21fb4d82154234085faef0319"
"","Support Equipment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","4.052","","","","4.052","","","","","","","","","","","","","","","","","","","","","","","","","7144e0845629d417c2134eb674d7c53063f2ff5c-3-01d0efc290c3da3af61a207e56854144e8682f14","7144e0845629d417c2134eb674d7c53063f2ff5c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","7144e0845629d417c2134eb674d7c53063f2ff5c-0-7f7b9cc76a4531b21fb4d82154234085faef0319"
"","Engineering Changes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","30.421","","","20.812","","","","20.812","","","","","","","","","","","","","","","","","","","","","","","","","7144e0845629d417c2134eb674d7c53063f2ff5c-4-8e6ca64a45a40d171591ecc89cbdf819781f1795","7144e0845629d417c2134eb674d7c53063f2ff5c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","7144e0845629d417c2134eb674d7c53063f2ff5c-0-7f7b9cc76a4531b21fb4d82154234085faef0319"
"","Fielding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","33.765","","","40.015","","","","40.015","","","","","","","","","","","","","","","","","","","","","","","","","7144e0845629d417c2134eb674d7c53063f2ff5c-5-f7c90dcdf8d8634e054ce6e769a6f45dbf9de663","7144e0845629d417c2134eb674d7c53063f2ff5c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","7144e0845629d417c2134eb674d7c53063f2ff5c-0-7f7b9cc76a4531b21fb4d82154234085faef0319"
"","Systems Engineering/ Management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","6.999","","","1.406","","","","1.406","","","","","","","","","","","","","","","","","","","","","","","","","7144e0845629d417c2134eb674d7c53063f2ff5c-6-ca4ea0b0e7dc464e0c16c91a37f9a54dff0e82a9","7144e0845629d417c2134eb674d7c53063f2ff5c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","7144e0845629d417c2134eb674d7c53063f2ff5c-0-7f7b9cc76a4531b21fb4d82154234085faef0319"
"","Data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","1.718","","","0.000","","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","7144e0845629d417c2134eb674d7c53063f2ff5c-7-75885f4571c3e61552b03a030c0c03b077a36ebf","7144e0845629d417c2134eb674d7c53063f2ff5c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","7144e0845629d417c2134eb674d7c53063f2ff5c-0-7f7b9cc76a4531b21fb4d82154234085faef0319"
"","Tech Refresh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","4.195","","","0.000","","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","7144e0845629d417c2134eb674d7c53063f2ff5c-8-d223a168f320d3892a33581780db1f2c47502a70","7144e0845629d417c2134eb674d7c53063f2ff5c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","7144e0845629d417c2134eb674d7c53063f2ff5c-0-7f7b9cc76a4531b21fb4d82154234085faef0319"
"","Warranty","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","29.395","","","0.000","","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","7144e0845629d417c2134eb674d7c53063f2ff5c-9-3ea9fd850746040aba2743bbb4acdf0f6d587870","7144e0845629d417c2134eb674d7c53063f2ff5c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","7144e0845629d417c2134eb674d7c53063f2ff5c-0-7f7b9cc76a4531b21fb4d82154234085faef0319"
"","Software Support","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","4.328","","","","4.328","","","","","","","","","","","","","","","","","","","","","","","","","7144e0845629d417c2134eb674d7c53063f2ff5c-10-c763dd0f182b7a19d71cab664879d6c729929b22","7144e0845629d417c2134eb674d7c53063f2ff5c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","7144e0845629d417c2134eb674d7c53063f2ff5c-0-7f7b9cc76a4531b21fb4d82154234085faef0319"
"","Other","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","39.732","","","","39.732","","","","","","","","","","","","","","","","","","","","","","","","","7144e0845629d417c2134eb674d7c53063f2ff5c-11-9d593f00f745ecfd452a12d48df456d8e6402a30","7144e0845629d417c2134eb674d7c53063f2ff5c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","7144e0845629d417c2134eb674d7c53063f2ff5c-0-7f7b9cc76a4531b21fb4d82154234085faef0319"
"","SRW Applique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","30.8","","","18.8","","","","18.8","","","","","","","","","","","","","","","","","","","","","","","","","7144e0845629d417c2134eb674d7c53063f2ff5c-12-4ef28bc07af4d8d67b36c3c3f15468d953335c73","7144e0845629d417c2134eb674d7c53063f2ff5c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","7144e0845629d417c2134eb674d7c53063f2ff5c-0-7f7b9cc76a4531b21fb4d82154234085faef0319"
"Above funds changes/modifications driven from SDD. Non-recurring Costs include such items as DoN share of Production Non-Recurring Tooling per the Joint Strike Fighter (JSF) Production, Sustainment, and Follow-on-Development Memorandum of Understanding (MOU) between the U.S. and eight partner nations cooperating in the production, sustainment and follow-on development of the JSF.  In addition, it includes funding for Diminishing Manufacturing, concurrency engineering, and Cost Reduction Intiatives (CRI).","1.2.1) Non- Recur Cost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","195.006","","","115.035","","","192.836","","","131.656","","","","131.656","","","","","","","","","","","","","","","","","","","","","","","","","7a4546266ca915b8083e367bcf622d93b0d51cae-0-93c5f143f6785418be5b1979fe678b6570e46473","7a4546266ca915b8083e367bcf622d93b0d51cae","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","7a4546266ca915b8083e367bcf622d93b0d51cae-0-6443d656b128e9b336b86152bbe75e36c59e0663"
"","1.2.2) Ancillary Equip","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.866","","","39.462","","","45.429","","","46.256","","","","46.256","","","","","","","","","","","","","","","","","","","","","","","","","7a4546266ca915b8083e367bcf622d93b0d51cae-1-8fac823795feb8a4d4a6e8b231fec5d309285d9a","7a4546266ca915b8083e367bcf622d93b0d51cae","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","7a4546266ca915b8083e367bcf622d93b0d51cae-0-6443d656b128e9b336b86152bbe75e36c59e0663"
"FY 2014 Non-recurring costs for Airborne Low Frequency Sonar (ALFS) reliability improvements to improve system availability and encorporation of digital moving map into the aircraft.","1.2.1) Non-Recur Cost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","385.059","","","60.758","","","45.449","","","7.72","","","","7.72","","","","","","","","","","","","","","","","","","","","","","","","","892e01235ea651743e036676e38ed112eb3c3855-0-7b62d4a5c7aec5c85ef905bd923823eddd5ca947","892e01235ea651743e036676e38ed112eb3c3855","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","892e01235ea651743e036676e38ed112eb3c3855-0-6eea983ea8ea1ceb8ca4c61d9b45fbaebf7246c3"
