"Name_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_Continuing_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_AllPriorYears_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_UnitCost_AllPriorYears_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_TotalCost_val","Cost_ToComplete_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_Total_TotalCost_val","Cost_Total_Quantity_val","Cost_Total_UnitCost_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOneOCO_UnitCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearFive_TotalCost_val","ManufacturerList_Manufacturer","IdCode_val","AllPriorYearsDeliveries_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"INTERIM SUPPLY SPT -- Materiel","5.546","1.183","2.519","7.219","0","7.219","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e4b2d5ba2abeeea042a40efc2557e02325d0c5d4-1-80e00c6329fb425f7ace1ae888a709b5dfc56681","e4b2d5ba2abeeea042a40efc2557e02325d0c5d4","root.record.ItemExhibitList.P5Item","e4b2d5ba2abeeea042a40efc2557e02325d0c5d4-0-2a61c9675fe8e0825bd6130d59f1b00c10b1352f"
"Systems Engineering","0","0","1.121","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","eee116c7c43c5d47ca9932f538f97734878e24a7-0-f80a478d6b893c912fb0aaca7c8a7f0550a39420","eee116c7c43c5d47ca9932f538f97734878e24a7","root.record.ItemExhibitList.P5Item","eee116c7c43c5d47ca9932f538f97734878e24a7-6-d5713b80496f3bef13f0a26d61e7a2180f07a661"
"Technical Data","0","0","0.001","0.001","","0.001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","eee116c7c43c5d47ca9932f538f97734878e24a7-1-276a749146bd179ea60b5b4e5983f0f5f14ad7c3","eee116c7c43c5d47ca9932f538f97734878e24a7","root.record.ItemExhibitList.P5Item","eee116c7c43c5d47ca9932f538f97734878e24a7-6-d5713b80496f3bef13f0a26d61e7a2180f07a661"
"JSAM RW MPU-5 - Tooling","0","0","0.287","0.02","","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","eee116c7c43c5d47ca9932f538f97734878e24a7-0-8f119c96c747da565470bd69eeb154390e4f00ad","eee116c7c43c5d47ca9932f538f97734878e24a7","root.record.ItemExhibitList.P5Item","eee116c7c43c5d47ca9932f538f97734878e24a7-8-961bb63a530f96cd82d0e992884b85a52482d2ac"
"JSAM RW MPU-5 - Initial Spares/Fielding Components","0","0","1.672","1.173","","1.173","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","eee116c7c43c5d47ca9932f538f97734878e24a7-1-ad6181b7188f1470c964dd858ce8c1f9ba72c9d0","eee116c7c43c5d47ca9932f538f97734878e24a7","root.record.ItemExhibitList.P5Item","eee116c7c43c5d47ca9932f538f97734878e24a7-8-961bb63a530f96cd82d0e992884b85a52482d2ac"
"TECHNICAL DATA","0.06","0","0","0","0","0","0","0","0","0","0.06","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ef29240e8a8695d224b5fc9048ad3f5397c5b199-0-ab7d094c016b29cd3c0c2467a87c9169bd4b02e9","ef29240e8a8695d224b5fc9048ad3f5397c5b199","root.record.ItemExhibitList.P5Item","ef29240e8a8695d224b5fc9048ad3f5397c5b199-0-e5fd1718263a52d0e6bc94c543a26d5113b616c4"
"INTERIM SUPPLY SPT SERVICES/LABOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","2.67","","","1.54","","","1.67","","","1.67","","","","","","","","","","","","0.000","","","","","A","","01ca1fcad148aa42e8a1c7123ad2f342ae8b72b2-0-9878e032209b7c9d4402ef8dbbe9a5b7b1e44f5c","01ca1fcad148aa42e8a1c7123ad2f342ae8b72b2","root.record.ItemExhibitList.P5Item","01ca1fcad148aa42e8a1c7123ad2f342ae8b72b2-0-c07dd43740b84611dccf214862175f592c35b9b2"
"INTERIM SUPPLY SPT -- Materiel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","2.669","","","5.456","","","5.988","","","5.988","","","","","","","","","","","","0.000","","","","","A","","01ca1fcad148aa42e8a1c7123ad2f342ae8b72b2-1-2e761748e70ecad2f61118377d64e4da4ac2ff2e","01ca1fcad148aa42e8a1c7123ad2f342ae8b72b2","root.record.ItemExhibitList.P5Item","01ca1fcad148aa42e8a1c7123ad2f342ae8b72b2-0-c07dd43740b84611dccf214862175f592c35b9b2"
"Stockpile Systems (Nuclear Planning & Execution System)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.357","0.002","220","0.357","0.089","4","0.357","0.089","4","0.357","0.089","4","","","","","","","","","","0.000","0.000","0","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-09c9285abdf62b4e902fb028ae31d93123468c39-0-30b40123f1dff0dfdf8fd9e615d82da957a35e4e","A","","09c9285abdf62b4e902fb028ae31d93123468c39-0-96c14c440fd97193f15bccf39acdb711755620a0","09c9285abdf62b4e902fb028ae31d93123468c39","root.record.ItemExhibitList.P5Item","09c9285abdf62b4e902fb028ae31d93123468c39-0-fe5f329704aa8d2bdcd3e80615198c28680ed9dd"
"IA Situational Awarness/Command & Control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9","0.9","1","0.1","0.1","1","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-09c9285abdf62b4e902fb028ae31d93123468c39-1-f38f6d95afce3a5f2fef26b3cb7e057771549d19","A","","09c9285abdf62b4e902fb028ae31d93123468c39-1-f4c590ced4681286255e2e89f4df001619a646ee","09c9285abdf62b4e902fb028ae31d93123468c39","root.record.ItemExhibitList.P5Item","09c9285abdf62b4e902fb028ae31d93123468c39-0-fe5f329704aa8d2bdcd3e80615198c28680ed9dd"
"New Emergent Technologies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.337","0.337","1","0.571","0.571","1","0.663","0.663","1","0.663","0.663","1","","","","","","","","","","0.000","0.000","0","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-09c9285abdf62b4e902fb028ae31d93123468c39-2-d333248459a08e7a3ba7dc3a076dfac87651ab35","A","","09c9285abdf62b4e902fb028ae31d93123468c39-2-1b6f30f0e695d20ad4f2d7e3e9648f4bb21de27d","09c9285abdf62b4e902fb028ae31d93123468c39","root.record.ItemExhibitList.P5Item","09c9285abdf62b4e902fb028ae31d93123468c39-0-fe5f329704aa8d2bdcd3e80615198c28680ed9dd"
"Nimble Elder Tactical/Communication Vehicles","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-09c9285abdf62b4e902fb028ae31d93123468c39-0-927d51be4dbb2891f8e627c9984d53add3bac78a","A","","09c9285abdf62b4e902fb028ae31d93123468c39-0-226b14d382686e895640ed6384e93bf986101656","09c9285abdf62b4e902fb028ae31d93123468c39","root.record.ItemExhibitList.P5Item","09c9285abdf62b4e902fb028ae31d93123468c39-1-f22a5701abe1dd458361abbde9563670228b9d03"
"Network Telecom Equipment and Services (5th Signal Command Darmstadt, Germany)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.15","0.15","1","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-09c9285abdf62b4e902fb028ae31d93123468c39-0-fa1180ac6d29420cf56f111cc34a5978d6465fa8","A","","09c9285abdf62b4e902fb028ae31d93123468c39-0-5538fcb02ea91d8954514d39354753663a18f733","09c9285abdf62b4e902fb028ae31d93123468c39","root.record.ItemExhibitList.P5Item","09c9285abdf62b4e902fb028ae31d93123468c39-2-d76901e441add47bd65be8ce0e4b400954124a5e"
"DEC Equipment Purchase Phase II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.362","4.362","1","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-09c9285abdf62b4e902fb028ae31d93123468c39-1-9a0af5bd411d94c11d1ed9b45605ac5149190759","A","","09c9285abdf62b4e902fb028ae31d93123468c39-1-6c051653980bd7d13a24db3edc1dc27de1d80c82","09c9285abdf62b4e902fb028ae31d93123468c39","root.record.ItemExhibitList.P5Item","09c9285abdf62b4e902fb028ae31d93123468c39-2-d76901e441add47bd65be8ce0e4b400954124a5e"
"IT Installation Kleber Germany","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.629","1.629","1","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-09c9285abdf62b4e902fb028ae31d93123468c39-2-fc77a9de4ded3f144ff523d3d6f4ecd1511edff0","A","","09c9285abdf62b4e902fb028ae31d93123468c39-2-13a45364d2a5ef53d7e303cbbb409e8316d25263","09c9285abdf62b4e902fb028ae31d93123468c39","root.record.ItemExhibitList.P5Item","09c9285abdf62b4e902fb028ae31d93123468c39-2-d76901e441add47bd65be8ce0e4b400954124a5e"
"DEC Virtual Desktop Infrastructure (VDI)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.703","2.703","1","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-09c9285abdf62b4e902fb028ae31d93123468c39-3-168880369a2e864516bb67ed1acf391cdb3a4435","A","","09c9285abdf62b4e902fb028ae31d93123468c39-3-e88d9dd354bbf9f1392144ba1396d22a859c2809","09c9285abdf62b4e902fb028ae31d93123468c39","root.record.ItemExhibitList.P5Item","09c9285abdf62b4e902fb028ae31d93123468c39-2-d76901e441add47bd65be8ce0e4b400954124a5e"
"DTRA DMZ and Server Access Architecture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.779","2.779","1","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-09c9285abdf62b4e902fb028ae31d93123468c39-4-a62fc2bf0074ad3d5427427bb72a13bd8b1a9cde","A","","09c9285abdf62b4e902fb028ae31d93123468c39-4-cca1be818dc45952db751cc39864333ead5d7fad","09c9285abdf62b4e902fb028ae31d93123468c39","root.record.ItemExhibitList.P5Item","09c9285abdf62b4e902fb028ae31d93123468c39-2-d76901e441add47bd65be8ce0e4b400954124a5e"
"WAN Acceleration and Deep Packet Inspection Infrastructure (Site 1 and Site 2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.471","4.471","1","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-09c9285abdf62b4e902fb028ae31d93123468c39-5-be404364113f744b6c0446a6a19f78506b6bae4c","A","","09c9285abdf62b4e902fb028ae31d93123468c39-5-56d7914d39f635065ee87b3bac9a85c0ea997b9c","09c9285abdf62b4e902fb028ae31d93123468c39","root.record.ItemExhibitList.P5Item","09c9285abdf62b4e902fb028ae31d93123468c39-2-d76901e441add47bd65be8ce0e4b400954124a5e"
"Reachback Analyst Workstations and Peripherals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.107","0.107","1","0.106","0.106","1","0.106","0.106","1","","","","","","","","","","0.000","0.000","0","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-09c9285abdf62b4e902fb028ae31d93123468c39-6-72e63d9aa66382f28a75514e4511c1199980fbdf","A","","09c9285abdf62b4e902fb028ae31d93123468c39-6-77bc7dbcb9977f67fecde4f3880eaf0f5d534a3d","09c9285abdf62b4e902fb028ae31d93123468c39","root.record.ItemExhibitList.P5Item","09c9285abdf62b4e902fb028ae31d93123468c39-2-d76901e441add47bd65be8ce0e4b400954124a5e"
"DTRA DEC Server Infrastructure (Site 1 and Site 2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.538","2.538","1","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-09c9285abdf62b4e902fb028ae31d93123468c39-7-6830c252c11b95d143c15054d3a057b85d3d047e","A","","09c9285abdf62b4e902fb028ae31d93123468c39-7-5d080c8a558f255739b5bcc927cbbfd2ca38a223","09c9285abdf62b4e902fb028ae31d93123468c39","root.record.ItemExhibitList.P5Item","09c9285abdf62b4e902fb028ae31d93123468c39-2-d76901e441add47bd65be8ce0e4b400954124a5e"
"Reachback Computational Servers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.21","0.21","1","0.424","0.424","1","0.424","0.424","1","","","","","","","","","","0.000","0.000","0","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-09c9285abdf62b4e902fb028ae31d93123468c39-8-6dc4638b1af9e301d7e36c96810c56f0b88c7cad","A","","09c9285abdf62b4e902fb028ae31d93123468c39-8-47c7e864227e8b9bca77f13cf03c8f24620283ae","09c9285abdf62b4e902fb028ae31d93123468c39","root.record.ItemExhibitList.P5Item","09c9285abdf62b4e902fb028ae31d93123468c39-2-d76901e441add47bd65be8ce0e4b400954124a5e"
"Reachback Server, Metrological Data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.123","0.123","1","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-09c9285abdf62b4e902fb028ae31d93123468c39-9-284f776e3f77b0e3b5be3fc311b9a1bf973dbfa8","A","","09c9285abdf62b4e902fb028ae31d93123468c39-9-eddb298ba8e1c37110ebb1a4f3e84e55bf1993a3","09c9285abdf62b4e902fb028ae31d93123468c39","root.record.ItemExhibitList.P5Item","09c9285abdf62b4e902fb028ae31d93123468c39-2-d76901e441add47bd65be8ce0e4b400954124a5e"
"Albquerque Physcial Plant Modernization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.55","1.55","1","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-09c9285abdf62b4e902fb028ae31d93123468c39-10-fd6738c3ba5963f15a3f4f75fb32d534d4112583","A","","09c9285abdf62b4e902fb028ae31d93123468c39-10-330f89c6b24112aa4320f970bd6dc7835cd3d078","09c9285abdf62b4e902fb028ae31d93123468c39","root.record.ItemExhibitList.P5Item","09c9285abdf62b4e902fb028ae31d93123468c39-2-d76901e441add47bd65be8ce0e4b400954124a5e"
"DTRA Storage Infrastructure Modernization (Site 1)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.11","2.11","1","2.11","2.11","1","","","","","","","","","","0.000","0.000","0","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-09c9285abdf62b4e902fb028ae31d93123468c39-11-6f126d7755961e04d1e6a1f37e89c985a3465a18","A","","09c9285abdf62b4e902fb028ae31d93123468c39-11-0e7d06c7d89620d1011447cac74c4630534780ec","09c9285abdf62b4e902fb028ae31d93123468c39","root.record.ItemExhibitList.P5Item","09c9285abdf62b4e902fb028ae31d93123468c39-2-d76901e441add47bd65be8ce0e4b400954124a5e"
"DTRA VOIP System (Inlcuding access layer software for Site1 and Site 2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.209","3.209","1","3.209","3.209","1","","","","","","","","","","0.000","0.000","0","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-09c9285abdf62b4e902fb028ae31d93123468c39-12-7749a73d28048b9aaa7a0c348cdc2a5bce03c392","A","","09c9285abdf62b4e902fb028ae31d93123468c39-12-fe3609d6c8c006e6b55a3309004379e73067c3a3","09c9285abdf62b4e902fb028ae31d93123468c39","root.record.ItemExhibitList.P5Item","09c9285abdf62b4e902fb028ae31d93123468c39-2-d76901e441add47bd65be8ce0e4b400954124a5e"
"CNDSP (Site 2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.749","0.749","1","0.749","0.749","1","","","","","","","","","","0.000","0.000","0","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-09c9285abdf62b4e902fb028ae31d93123468c39-13-80f7d16f875f906dcfc4a0e74fcac8018f9ea32c","A","","09c9285abdf62b4e902fb028ae31d93123468c39-13-e69634d37bcef41e330659db4415821a0920f368","09c9285abdf62b4e902fb028ae31d93123468c39","root.record.ItemExhibitList.P5Item","09c9285abdf62b4e902fb028ae31d93123468c39-2-d76901e441add47bd65be8ce0e4b400954124a5e"
"Synchronus MetroCluster (Unclassified)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.928","4.928","1","4.928","4.928","1","","","","","","","","","","0.000","0.000","0","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-09c9285abdf62b4e902fb028ae31d93123468c39-14-341bea65b2522a7f5e351543e70e41c5d50e69ee","A","","09c9285abdf62b4e902fb028ae31d93123468c39-14-a864889abb768311fd80745127bcf7b1838edf46","09c9285abdf62b4e902fb028ae31d93123468c39","root.record.ItemExhibitList.P5Item","09c9285abdf62b4e902fb028ae31d93123468c39-2-d76901e441add47bd65be8ce0e4b400954124a5e"
"Reachback Server, Numerical Weather","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","0.05","1","0.05","0.05","1","","","","","","","","","","0.000","0.000","0","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-09c9285abdf62b4e902fb028ae31d93123468c39-15-d9cf158233da5c4d6bcd38b9a783f28b423c11cd","A","","09c9285abdf62b4e902fb028ae31d93123468c39-15-071d2b73e12d0f741768bc828986232bc25e4916","09c9285abdf62b4e902fb028ae31d93123468c39","root.record.ItemExhibitList.P5Item","09c9285abdf62b4e902fb028ae31d93123468c39-2-d76901e441add47bd65be8ce0e4b400954124a5e"
"Software Quality Assurance (SQA) Toolset","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","0.5","1","0.5","0.5","1","","","","","","","","","","0.000","0.000","0","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-09c9285abdf62b4e902fb028ae31d93123468c39-16-e652a907e0a8c1dde355b458a0e16743b786aa6e","A","","09c9285abdf62b4e902fb028ae31d93123468c39-16-e5ee2315fce546b7c4bc7590a3f3c3961e838634","09c9285abdf62b4e902fb028ae31d93123468c39","root.record.ItemExhibitList.P5Item","09c9285abdf62b4e902fb028ae31d93123468c39-2-d76901e441add47bd65be8ce0e4b400954124a5e"
"Blue Coat (hardware Proxy Devices) (Red River Computer Company, Fort Belvoir VA)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.503","0.503","1","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-09c9285abdf62b4e902fb028ae31d93123468c39-17-111d3d00bf29d968cf2fcf2e4489c0794de733cf","A","","09c9285abdf62b4e902fb028ae31d93123468c39-17-461950e8e08a21931a4955bf3d17f63baa2d23af","09c9285abdf62b4e902fb028ae31d93123468c39","root.record.ItemExhibitList.P5Item","09c9285abdf62b4e902fb028ae31d93123468c39-2-d76901e441add47bd65be8ce0e4b400954124a5e"
"Logistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.607","0.607","1","0.000","","","0.000","","","0.000","","","","","","","","","","","","0.000","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-26acbf055b8d0657bb2aa1c33467c0793c92be7c-0-1fe20948cf9b7165706ca5d89dca38c73aaa9c41","A","","26acbf055b8d0657bb2aa1c33467c0793c92be7c-0-cefa781815d7bdb3dba3e36c23e6274c6f0092fc","26acbf055b8d0657bb2aa1c33467c0793c92be7c","root.record.ItemExhibitList.P5Item","26acbf055b8d0657bb2aa1c33467c0793c92be7c-0-7a531aae01b793957e30a7a6785b1f953adc31ff"
"Pubs/Tech Data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.594","","","15.277","","","0.289","","","15.722","","","15.722","","","12.827","22.98","25.734","719.443","","","920.453","","","0.000","","","54.587","","B","","4fd61cc657d10bb06469ad604fda2a93c6102031-0-3e2300db850319a98e0532f86e92d14b1b5e0b91","4fd61cc657d10bb06469ad604fda2a93c6102031","root.record.ItemExhibitList.P5Item","4fd61cc657d10bb06469ad604fda2a93c6102031-0-4592992d53a8f03e087c4ad43ab0c7ff8571b66e"
"Other ILS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.274","","","90.432","","","225.223","","","135.834","","","135.834","","","89.85","93.429","155.179","2234.338","","","3288.933","","","0.000","","","194.374","","B","","4fd61cc657d10bb06469ad604fda2a93c6102031-1-b46fb3504af2597acbba20d66438e500b7ce936b","4fd61cc657d10bb06469ad604fda2a93c6102031","root.record.ItemExhibitList.P5Item","4fd61cc657d10bb06469ad604fda2a93c6102031-0-4592992d53a8f03e087c4ad43ab0c7ff8571b66e"
"INTERIM SUPPLY SUPPORT MATERIAL (PARTS/SUPPLIES)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","11.242","","","11.041","","","10.496","","","10.496","","","","","","","","","","","","0.000","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-a0db1b6fcdaf4ab07a0ab32ea4ce18239a8794af-0-0c9631c0e3b68d72a0270130bc52eec2d3b29465","A","","a0db1b6fcdaf4ab07a0ab32ea4ce18239a8794af-0-c11da582a1f95163c753f783dd707bf593b1b5c9","a0db1b6fcdaf4ab07a0ab32ea4ce18239a8794af","root.record.ItemExhibitList.P5Item","a0db1b6fcdaf4ab07a0ab32ea4ce18239a8794af-1-596cb79fdd3591f88309adec018c235d21fb0a48"
"INTERIM SUPPLY SUPPORT SERVICES/LABOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","1.977","","","2","","","1.709","","","1.709","","","","","","","","","","","","0.000","","","","","A","","a0db1b6fcdaf4ab07a0ab32ea4ce18239a8794af-1-cd832be9ed417fedad7825f30a95c550de76ea72","a0db1b6fcdaf4ab07a0ab32ea4ce18239a8794af","root.record.ItemExhibitList.P5Item","a0db1b6fcdaf4ab07a0ab32ea4ce18239a8794af-1-596cb79fdd3591f88309adec018c235d21fb0a48"
"Engineering Change Orders/Engineering Change Proposals - Non Recurring Flyaway","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.304","","","0.011","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","0.000","","","","","A","","a4b0283b5c7b92f7502d16a89f5ca37b1e6332b9-0-8f381ef628b57b135f94631b58370dbc7ac62cfa","a4b0283b5c7b92f7502d16a89f5ca37b1e6332b9","root.record.ItemExhibitList.P5Item","a4b0283b5c7b92f7502d16a89f5ca37b1e6332b9-0-8896159691eba6062c0b802b40f131883eac3b24"
"FSAT Program Life Extension","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.517","","","1.176","","","2.588","","","0.313","","","0.313","","","","","","","","","","","","0.000","","","","","A","","a4b0283b5c7b92f7502d16a89f5ca37b1e6332b9-1-fbc572026a395af92b208092bf8ddf45343b8137","a4b0283b5c7b92f7502d16a89f5ca37b1e6332b9","root.record.ItemExhibitList.P5Item","a4b0283b5c7b92f7502d16a89f5ca37b1e6332b9-0-8896159691eba6062c0b802b40f131883eac3b24"
"Data/Tech Manuals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.503","","","0.465","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","0.000","","","","","A","","a4b0283b5c7b92f7502d16a89f5ca37b1e6332b9-2-857a968d67c95de973c20203bf308761fe302c6e","a4b0283b5c7b92f7502d16a89f5ca37b1e6332b9","root.record.ItemExhibitList.P5Item","a4b0283b5c7b92f7502d16a89f5ca37b1e6332b9-0-8896159691eba6062c0b802b40f131883eac3b24"
"TECHNICAL DATA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.06","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0.000","0.000","0.000","","","0.06","","","0.000","","","0.000","","A","","c737eda1306422181a194712d6632307a6d1d517-0-454e430a3feb13abda69e86bb2ce450211608fbb","c737eda1306422181a194712d6632307a6d1d517","root.record.ItemExhibitList.P5Item","c737eda1306422181a194712d6632307a6d1d517-0-6afd55b63d712fcec49bfeecf90e03d4e54bd16b"
