"Name_val","Recurring_CostElementList_CostElement","Recurring_CategorySubtotal_TotalCost_AllPriorYears_val","Recurring_CategorySubtotal_TotalCost_PriorYear_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOneBase_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOneOCO_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOne_val","Recurring_CategorySubtotal_TotalCost_CurrentYear_val","Recurring_CategorySubtotal_TotalCost_Total_val","Recurring_CategorySubtotal_TotalCost_BudgetYearTwo_val","Recurring_CategorySubtotal_TotalCost_BudgetYearThree_val","Recurring_CategorySubtotal_TotalCost_BudgetYearFour_val","Recurring_CategorySubtotal_TotalCost_BudgetYearFive_val","Recurring_CategorySubtotal_TotalCost_Continuing_val","Recurring_CategorySubtotal_TotalCost_ToComplete_val","CategorySubtotal_TotalCost_AllPriorYears_val","CategorySubtotal_TotalCost_PriorYear_val","CategorySubtotal_TotalCost_BudgetYearOneBase_val","CategorySubtotal_TotalCost_BudgetYearOneOCO_val","CategorySubtotal_TotalCost_BudgetYearOne_val","CategorySubtotal_TotalCost_CurrentYear_val","CategorySubtotal_TotalCost_ToComplete_val","CategorySubtotal_TotalCost_Total_val","CategorySubtotal_TotalCost_BudgetYearTwo_val","CategorySubtotal_TotalCost_BudgetYearThree_val","CategorySubtotal_TotalCost_BudgetYearFour_val","CategorySubtotal_TotalCost_BudgetYearFive_val","CategorySubtotal_TotalCost_Continuing_val","NonRecurring_CostElementList_CostElement","NonRecurring_CategorySubtotal_TotalCost_CurrentYear_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOneBase_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOne_val","NonRecurring_CategorySubtotal_TotalCost_PriorYear_val","NonRecurring_CategorySubtotal_TotalCost_AllPriorYears_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOneOCO_val","NonRecurring_CategorySubtotal_TotalCost_ToComplete_val","NonRecurring_CategorySubtotal_TotalCost_Total_val","NonRecurring_CategorySubtotal_TotalCost_Continuing_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearTwo_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearThree_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearFour_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"LA45 - SIMULATOR, AIRBURST GF 1.5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b-6-169edf06a2f7478ba0c635722a01d1d11832213a","0.747","","","","","0.089","","","","","","","","0.747","","","","","0.089","","","","","","","","","","","","","","","","","","","","","","84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b-6-8f5afd7935d5361e160945dc2798aeee41b00466","84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b","root.record.ItemExhibitList.P5Item","84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b-0-17146f2a2a8f70a319105e853dce8db20c7afa8a"
"LA46 - SIMULATOR, HOSTILE FIRE GF 1.5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b-7-bacade84630419b8e162583c4b61dfba83109c91","0.851","","","","","0.685","","","","","","","","0.851","","","","","0.685","","","","","","","","","","","","","","","","","","","","","","84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b-7-95f55b92c41e149cf3afa7065e46d281ec194d1e","84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b","root.record.ItemExhibitList.P5Item","84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b-0-17146f2a2a8f70a319105e853dce8db20c7afa8a"
"LA47 - SIMULATOR, AT GUIDED MISSILE STINGER GF 1.5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b-8-9a16f8ca4bcfe6439ba869e64dc5b75c2dfebc27","0.355","","","","","0.092","","","","","","","","0.355","","","","","0.092","","","","","","","","","","","","","","","","","","","","","","84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b-8-a5f7619aa0a4e4b87a273cdac8a460fa2eaa997c","84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b","root.record.ItemExhibitList.P5Item","84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b-0-17146f2a2a8f70a319105e853dce8db20c7afa8a"
"Prior Years Cumulative Funding","","","","","","","","","","","","","","","37.23","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b-9-2bd75f9ec996b6eee7c093e43a09297924fff8f0","","","","","37.23","","","","","","","","","84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b-9-e11d4c633208aee101f5e706a74f0587edb734d7","84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b","root.record.ItemExhibitList.P5Item","84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b-0-17146f2a2a8f70a319105e853dce8db20c7afa8a"
"TG002 - MK39 MOD 2 EMATT","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-855a5b56c61f122aa01ae0013efb19866b2a70b8-0-c6a9a00ff2b97d40b876d4613ac67bd8ec06ad32","69.97","1.311","5.697","","5.697","","","","","","","","","70.353","1.311","5.697","","5.697","2.127","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-855a5b56c61f122aa01ae0013efb19866b2a70b8-0-ec58ceb7f99e68b3158775d9a02d8fd2b1555d30","2.127","","","","0.383","","","","","","","","","855a5b56c61f122aa01ae0013efb19866b2a70b8-0-6322626541024239514a558550922cd17279dc2e","855a5b56c61f122aa01ae0013efb19866b2a70b8","root.record.ItemExhibitList.P5Item","855a5b56c61f122aa01ae0013efb19866b2a70b8-0-016dbd9f283a606cf7eb0d4df81ff613067fbf3f"
"TG005 - MK30 MOD 2 PROCUREMENT","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-855a5b56c61f122aa01ae0013efb19866b2a70b8-1-105c9211153fae5d101cf5877c1d826b661446b8","53.509","","","","","","","","","","","","","53.509","","","","","","","","","","","","","","","","","","","","","","","","","","","855a5b56c61f122aa01ae0013efb19866b2a70b8-1-cb5c5cd95ba482f6fc5e3824233f68d8172977b6","855a5b56c61f122aa01ae0013efb19866b2a70b8","root.record.ItemExhibitList.P5Item","855a5b56c61f122aa01ae0013efb19866b2a70b8-0-016dbd9f283a606cf7eb0d4df81ff613067fbf3f"
"TG007 - MK30 SLEP","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-855a5b56c61f122aa01ae0013efb19866b2a70b8-2-4062cdab47412084c662ad0106eefb7bd3fcb580","25.6","","2.466","","2.466","","","","","","","","","25.6","","2.466","","2.466","","","","","","","","","","","","","","","","","","","","","","","855a5b56c61f122aa01ae0013efb19866b2a70b8-2-849f04b723d4830fafef696d371f49d900bafbf2","855a5b56c61f122aa01ae0013efb19866b2a70b8","root.record.ItemExhibitList.P5Item","855a5b56c61f122aa01ae0013efb19866b2a70b8-0-016dbd9f283a606cf7eb0d4df81ff613067fbf3f"
"UQ019-MINE WARFARE VULENERABILITY IDENTIFICATION PROGRAM (MIW-VIP)","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-8670cd77f182620bbc308ffa9c122f43f284cf14-0-a570a5263b1cef245511a3a7b6db11a6f6cb9cd5","1.54","0.334","0.304","","0.304","0.299","","","","","","","","1.54","0.334","0.304","","0.304","0.299","","","","","","","","","","","","","","","","","","","","","","8670cd77f182620bbc308ffa9c122f43f284cf14-0-8e9e74de9c3d7c0bc31ccb85331b38b5a40711bf","8670cd77f182620bbc308ffa9c122f43f284cf14","root.record.ItemExhibitList.P5Item","8670cd77f182620bbc308ffa9c122f43f284cf14-0-1309c6fc1aa8a9d6ffceedc709dcb73843ffc880"
"UQ034 - U/W EOD & MCM SYSTEM/EQUIPMENT","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-8670cd77f182620bbc308ffa9c122f43f284cf14-1-03f96220132ffe7481a8ac878fb0891e3c6f069a","65.665","34.152","13.54","","13.54","34.706","","","","","","","","65.665","34.152","13.54","","13.54","34.706","","","","","","","","","","","","","","","","","","","","","","8670cd77f182620bbc308ffa9c122f43f284cf14-1-17ead223e621eb1197b8821269f525e808ef7977","8670cd77f182620bbc308ffa9c122f43f284cf14","root.record.ItemExhibitList.P5Item","8670cd77f182620bbc308ffa9c122f43f284cf14-0-1309c6fc1aa8a9d6ffceedc709dcb73843ffc880"
"UQ035 - OUTFIT EOD/UMCM TOOLS & EQUIPMENT","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-8670cd77f182620bbc308ffa9c122f43f284cf14-2-b4e54a6841ca0cc217fda96ebecbd4bf931bb187","1.023","0.222","0.25","","0.25","0.226","","","","","","","","1.023","0.222","0.25","","0.25","0.226","","","","","","","","","","","","","","","","","","","","","","8670cd77f182620bbc308ffa9c122f43f284cf14-2-f87864ba0acf79f441d328c93d10d6ed2109be05","8670cd77f182620bbc308ffa9c122f43f284cf14","root.record.ItemExhibitList.P5Item","8670cd77f182620bbc308ffa9c122f43f284cf14-0-1309c6fc1aa8a9d6ffceedc709dcb73843ffc880"
"UQ036 - DIVER SAFETY LIFE SUPPORT EQUIPMENT","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-8670cd77f182620bbc308ffa9c122f43f284cf14-3-8084b22ab8b5b6b2961932e3ecf6988cb038d05b","3.2","","0.411","","0.411","0.338","","","","","","","","3.2","","0.411","","0.411","0.338","","","","","","","","","","","","","","","","","","","","","","8670cd77f182620bbc308ffa9c122f43f284cf14-3-a4158a54593dabc26a0e7cb0d355754d2e4551de","8670cd77f182620bbc308ffa9c122f43f284cf14","root.record.ItemExhibitList.P5Item","8670cd77f182620bbc308ffa9c122f43f284cf14-0-1309c6fc1aa8a9d6ffceedc709dcb73843ffc880"
"UQ037 - MARINE MAMMAL SYSTEM/EQUIPMENT","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-8670cd77f182620bbc308ffa9c122f43f284cf14-4-0fd7abf5a8acd315901c77cb9cd480ea4743d540","23.307","9.531","1.911","","1.911","8.303","","","","","","","","35.347","9.531","1.911","","1.911","8.303","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-8670cd77f182620bbc308ffa9c122f43f284cf14-4-4a2c0cf1a3e1639801a5374500e2a486cdcb438a","","","","","12.04","","","","","","","","","8670cd77f182620bbc308ffa9c122f43f284cf14-4-631674ceeabe8bfbabade559535c6ec50cc1b96f","8670cd77f182620bbc308ffa9c122f43f284cf14","root.record.ItemExhibitList.P5Item","8670cd77f182620bbc308ffa9c122f43f284cf14-0-1309c6fc1aa8a9d6ffceedc709dcb73843ffc880"
"FY15 OCO SUPPLEMENTAL","","","","","","","","","","","","","","","","8.21","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-8670cd77f182620bbc308ffa9c122f43f284cf14-5-b65af4d399da0fd2ac73625584b9bef953135bca","","","","8.21","","","","","","","","","","8670cd77f182620bbc308ffa9c122f43f284cf14-5-ac013cb9bcee3a4be6398350fce74a8a02bb3505","8670cd77f182620bbc308ffa9c122f43f284cf14","root.record.ItemExhibitList.P5Item","8670cd77f182620bbc308ffa9c122f43f284cf14-0-1309c6fc1aa8a9d6ffceedc709dcb73843ffc880"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-87689c319860cb39ae8048202a86c5df39e4d7b9-0-eada1f132c7fc0783a96fa63c1ea0e63619b585c","","20.71","21.266","","21.266","9","","","","","","","","","29.884","29.964","","29.964","9.525","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-87689c319860cb39ae8048202a86c5df39e4d7b9-0-5293d2c822c1deaf941fcdcb9aabe3c235240a5f","0.525","8.698","8.698","9.174","","","","","","","","","","87689c319860cb39ae8048202a86c5df39e4d7b9-0-41e96976e5d063e07fe106e1673749753a1a2382","87689c319860cb39ae8048202a86c5df39e4d7b9","root.record.ItemExhibitList.P5Item","87689c319860cb39ae8048202a86c5df39e4d7b9-1-a4402341df2fc13e30a0a2bad9a4fa1fffa49b93"
"CA31 CTG 120MM TPMP-T M1002","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-8843794c78f576e6578e7630e2292ec6c96180ec-0-334374e5b65715e2d7563fa7a53fa6573f954b79","45.797","3.109","","","","","","","","","","","","45.797","3.109","","","","","","","","","","","","","","","","","","","","","","","","","","8843794c78f576e6578e7630e2292ec6c96180ec-0-17f2b021a6ecdc92f881670790c74676ad3e97c7","8843794c78f576e6578e7630e2292ec6c96180ec","root.record.ItemExhibitList.P5Item","8843794c78f576e6578e7630e2292ec6c96180ec-0-77be73ac646b09723a58eadf140ca71fab26b3e1"
"CA38 CTG, 120MM TANK CANISTER M1028","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-8843794c78f576e6578e7630e2292ec6c96180ec-1-3efc11f66c3a8136c0317d20d92ea66e549dd39b","","0.08","","","","","","","","","","","","","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","8843794c78f576e6578e7630e2292ec6c96180ec-1-f1b259141ebf180df963f2932de6afc25c3b3493","8843794c78f576e6578e7630e2292ec6c96180ec","root.record.ItemExhibitList.P5Item","8843794c78f576e6578e7630e2292ec6c96180ec-0-77be73ac646b09723a58eadf140ca71fab26b3e1"
"CA45 120MM HIGH EXPLOSIVE CARTRIDGE M1101","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-8843794c78f576e6578e7630e2292ec6c96180ec-2-6f8690c702eea7699e63d37e1c0deb051ec77701","26.539","","","","","","","","","","","","","26.539","","","","","","","","","","","","","","","","","","","","","","","","","","","8843794c78f576e6578e7630e2292ec6c96180ec-2-cf22279392740c1cf98dab159968e6202d8f024d","8843794c78f576e6578e7630e2292ec6c96180ec","root.record.ItemExhibitList.P5Item","8843794c78f576e6578e7630e2292ec6c96180ec-0-77be73ac646b09723a58eadf140ca71fab26b3e1"
"CA49 120MM MORTAR WHITE PHOSPHORUS, XM1103","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-8843794c78f576e6578e7630e2292ec6c96180ec-3-2c166619419a11d4f18c825292e74ab2baf1a81c","12.326","5.011","4.097","0.53","4.627","","","","","","","","","12.326","5.011","4.097","0.53","4.627","","","","","","","","","","","","","","","","","","","","","","","8843794c78f576e6578e7630e2292ec6c96180ec-3-c3b79327f71e8a2a6254e9f4fcbe7484637ee2d2","8843794c78f576e6578e7630e2292ec6c96180ec","root.record.ItemExhibitList.P5Item","8843794c78f576e6578e7630e2292ec6c96180ec-0-77be73ac646b09723a58eadf140ca71fab26b3e1"
"CA57 CTG, 120MM Multi-Purpose-High Explosive (MP-HE)","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-8843794c78f576e6578e7630e2292ec6c96180ec-4-234bd8ce27b00edb5c0d7818ab30a2693ecd5914","3.257","7.061","","","","4.826","","","","","","","","3.257","7.061","","","","4.826","","","","","","","","","","","","","","","","","","","","","","8843794c78f576e6578e7630e2292ec6c96180ec-4-d049b5ca6b927a1cc83f506fbc3a949031a8c0f0","8843794c78f576e6578e7630e2292ec6c96180ec","root.record.ItemExhibitList.P5Item","8843794c78f576e6578e7630e2292ec6c96180ec-0-77be73ac646b09723a58eadf140ca71fab26b3e1"
"CPRM PROJECTILE 120MM MORTAR PRECISION EXTENDED RANGE","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-8843794c78f576e6578e7630e2292ec6c96180ec-5-e2539cd8093dccf6fd666a45b5fad890edf986bc","","","12.66","","12.66","","","","","","","","","","","12.66","","12.66","","","","","","","","","","","","","","","","","","","","","","","8843794c78f576e6578e7630e2292ec6c96180ec-5-fc98c7e1a63e04799cd092ebbf5e2f3d890ed1e8","8843794c78f576e6578e7630e2292ec6c96180ec","root.record.ItemExhibitList.P5Item","8843794c78f576e6578e7630e2292ec6c96180ec-0-77be73ac646b09723a58eadf140ca71fab26b3e1"
"PRIOR YEARS CUMULATIVE FUNDING","","","","","","","","","","","","","","","224.44","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-8843794c78f576e6578e7630e2292ec6c96180ec-6-4579ec6cd9be0f393afdfc0d6f7c513f4df4adf1","","","","","224.44","","","","","","","","","8843794c78f576e6578e7630e2292ec6c96180ec-6-804d87ab36902450754022653ebaa10314e6a7d8","8843794c78f576e6578e7630e2292ec6c96180ec","root.record.ItemExhibitList.P5Item","8843794c78f576e6578e7630e2292ec6c96180ec-0-77be73ac646b09723a58eadf140ca71fab26b3e1"
"IT700 Data Center Consolidation","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-886f04e2ad4df52112b8d9283f21ce65f6edb2c0-0-fb0469a446ad5e47a12a6d711c4d7a80cb87f3b3","55.902","0","3.82","0","3.82","5","","","","","","","","55.902","0","3.82","0","3.82","5","","","","","","","","","","","","","","","","","","","","","","886f04e2ad4df52112b8d9283f21ce65f6edb2c0-0-5b8df0912af0962692c4c575fb6645d18e698c39","886f04e2ad4df52112b8d9283f21ce65f6edb2c0","root.record.ItemExhibitList.P5Item","886f04e2ad4df52112b8d9283f21ce65f6edb2c0-0-02bed81bae4be6cb4be92db3eb6161de37402cae"
"IT240 Risk Management Initiative","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-886f04e2ad4df52112b8d9283f21ce65f6edb2c0-1-d3122b7fa31bd59e7205ed6709f7c3ff57d611b4","0.2","0","0","0","0","3.177","","","","","","","","0.2","0","0","0","0","3.177","","","","","","","","","","","","","","","","","","","","","","886f04e2ad4df52112b8d9283f21ce65f6edb2c0-1-46ea2bdca97f4c020bd554e8e75965cba0012802","886f04e2ad4df52112b8d9283f21ce65f6edb2c0","root.record.ItemExhibitList.P5Item","886f04e2ad4df52112b8d9283f21ce65f6edb2c0-0-02bed81bae4be6cb4be92db3eb6161de37402cae"
"NU019 EPLRS-DR","","","","","","","","","","","","","","","2.594","","0.27","","0.27","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-8931906c05d35f55dbe986d5060cb6853f09e955-0-82265ce1cbcfac2b76cea927799cb4f1483320d6","","0.27","0.27","","2.594","","","","","","","","","8931906c05d35f55dbe986d5060cb6853f09e955-0-24231a4e5f53deb8d4fc6df4b839e08da04f8004","8931906c05d35f55dbe986d5060cb6853f09e955","root.record.ItemExhibitList.P5Item","8931906c05d35f55dbe986d5060cb6853f09e955-0-b49be9f6ccb617efac025dd6e129f076a6a668f7"
"NU237 PORTABLE RADIOS (Prior Years)","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-8931906c05d35f55dbe986d5060cb6853f09e955-1-b789d6614164657f64bdfc55bb8796adfb45a875","2.751","","","","","","","","","","","","","2.751","","","","","","","","","","","","","","","","","","","","","","","","","","","8931906c05d35f55dbe986d5060cb6853f09e955-1-c531a7ee187326485dbc3982b4c0f81365049204","8931906c05d35f55dbe986d5060cb6853f09e955","root.record.ItemExhibitList.P5Item","8931906c05d35f55dbe986d5060cb6853f09e955-0-b49be9f6ccb617efac025dd6e129f076a6a668f7"
"NU239 PORT NSW","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-8931906c05d35f55dbe986d5060cb6853f09e955-2-46d13cc0b5667f122a66afef0a852aed51478fa9","44.652","9.454","4.499","","4.499","3.427","","","","","","","","44.652","9.454","4.499","","4.499","3.427","","","","","","","","","","","","","","","","","","","","","","8931906c05d35f55dbe986d5060cb6853f09e955-2-38d6373328d4c36bee6dea388c5df0c06372a5b2","8931906c05d35f55dbe986d5060cb6853f09e955","root.record.ItemExhibitList.P5Item","8931906c05d35f55dbe986d5060cb6853f09e955-0-b49be9f6ccb617efac025dd6e129f076a6a668f7"
"NU245 HYDRA","","","","","","","","","","","","","","","10.404","1.288","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-8931906c05d35f55dbe986d5060cb6853f09e955-3-7e387e01fbfbb5eb5e62882685723ce0d6d81fc2","","","","1.288","10.404","","","","","","","","","8931906c05d35f55dbe986d5060cb6853f09e955-3-fdf1584346cb703e1a31582c356c212313668a5e","8931906c05d35f55dbe986d5060cb6853f09e955","root.record.ItemExhibitList.P5Item","8931906c05d35f55dbe986d5060cb6853f09e955-0-b49be9f6ccb617efac025dd6e129f076a6a668f7"
"NU295 BFTN","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-8931906c05d35f55dbe986d5060cb6853f09e955-4-605b4d21328397642c8a2da93c09ac1ed2b8a708","2.817","0.459","0.955","","0.955","1.17","","","","","","","","2.817","0.459","0.955","","0.955","1.17","","","","","","","","","","","","","","","","","","","","","","8931906c05d35f55dbe986d5060cb6853f09e955-4-27bbec27c645095e7ee83380061cdfcc53256e43","8931906c05d35f55dbe986d5060cb6853f09e955","root.record.ItemExhibitList.P5Item","8931906c05d35f55dbe986d5060cb6853f09e955-0-b49be9f6ccb617efac025dd6e129f076a6a668f7"
"NU790 Navy Expeditionary C4I","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-8931906c05d35f55dbe986d5060cb6853f09e955-5-75160d00320848ad2a3d93e1641cd7c05e861e1b","1.5","0.848","","","","0.838","","","","","","","","1.5","0.848","","","","0.838","","","","","","","","","","","","","","","","","","","","","","8931906c05d35f55dbe986d5060cb6853f09e955-5-3d3addc841ce1d82a175475e52dbb1029dbf0c3c","8931906c05d35f55dbe986d5060cb6853f09e955","root.record.ItemExhibitList.P5Item","8931906c05d35f55dbe986d5060cb6853f09e955-0-b49be9f6ccb617efac025dd6e129f076a6a668f7"
"NU260 DAMA IW - R (Prior Years)","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-8931906c05d35f55dbe986d5060cb6853f09e955-6-ed82e93a0c06fcd5c1a589a3988a4a66fec024ad","11.967","","","","","","","","","","","","","11.967","","","","","","","","","","","","","","","","","","","","","","","","","","","8931906c05d35f55dbe986d5060cb6853f09e955-6-cf0dbc59034139bb29fb92827b083d8b6e8de607","8931906c05d35f55dbe986d5060cb6853f09e955","root.record.ItemExhibitList.P5Item","8931906c05d35f55dbe986d5060cb6853f09e955-0-b49be9f6ccb617efac025dd6e129f076a6a668f7"
"NU385 ESB SOF (BSO 24)","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-8931906c05d35f55dbe986d5060cb6853f09e955-7-018b269d9dc7bd2ae0518a21b4427687afe3b941","","","0.677","","0.677","8.03","","","","","","","","","","0.677","","0.677","8.03","","","","","","","","","","","","","","","","","","","","","","8931906c05d35f55dbe986d5060cb6853f09e955-7-d473ce12f973d89e511f8e042db84664f93766b0","8931906c05d35f55dbe986d5060cb6853f09e955","root.record.ItemExhibitList.P5Item","8931906c05d35f55dbe986d5060cb6853f09e955-0-b49be9f6ccb617efac025dd6e129f076a6a668f7"
"SBIRS Survivable Endurable Evolution (S2E2)","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-8a412dc81e50142f8f284f41b328f96d84a887bf-0-10aea1813d222d2d2e6a95ad9265ddc105a89fc1","","","","","","50","50","","","","","","0","","","","","","74.502","0","74.502","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-8a412dc81e50142f8f284f41b328f96d84a887bf-0-a56d10ef7d613a9275811d9fc46c95b40ddb9e6e","24.502","","","","","","0","24.502","","","","","","8a412dc81e50142f8f284f41b328f96d84a887bf-0-9901f0aa12936d4361520689cf40a50be38afa06","8a412dc81e50142f8f284f41b328f96d84a887bf","root.record.ItemExhibitList.P5Item","8a412dc81e50142f8f284f41b328f96d84a887bf-3-e2bc36962452a36b5d0509e753d7c5764cfecb3e"
"","","","","","","","","","","","","","","","","","3.1","","3.1","7.515","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-8c06c11f0e303a99bc3038bb9ed0312740d39b11-0-cc5a7ce477765c70ee45399c02340967ef5f5b4f","7.515","3.1","3.1","","","","","","","","","","","8c06c11f0e303a99bc3038bb9ed0312740d39b11-0-61a44b68ce87b1172cf1146d251abe6192b58417","8c06c11f0e303a99bc3038bb9ed0312740d39b11","root.record.ItemExhibitList.P5Item","8c06c11f0e303a99bc3038bb9ed0312740d39b11-1-a87177a4bb4d741fcada716bb7f28640461dba6a"
"AF Cyber ISR Platform","","","","","","","","","","","","","","","","0","4.235","0","4.235","1.469","0","41.882","10.316","8.452","8.627","8.783","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-8c940623a1a8510eeb398f1d7c3181dd76dfc090-0-20b5de594b9b86f7f082d1f0dae49328495b116f","1.469","4.235","4.235","0","","0","0","41.882","","10.316","8.452","8.627","8.783","8c940623a1a8510eeb398f1d7c3181dd76dfc090-0-40ed3721a37d7daab7725bffaff491c0edad3a7a","8c940623a1a8510eeb398f1d7c3181dd76dfc090","root.record.ItemExhibitList.P5Item","8c940623a1a8510eeb398f1d7c3181dd76dfc090-0-ac10d2c8e3101ce72d9c90b2a5f167a08afc6dba"
"Hardware End Item","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-8d76b9d1f5e205b8c4449df5f711c8e06fdeac69-0-26c5f1969a185be00461bea3c48c659cae6ba233","0","72.933","375.921","0","375.921","405.457","","","","","","","","0","72.933","375.921","0","375.921","405.457","","","","","","","","","","","","","","","","","","","","","","8d76b9d1f5e205b8c4449df5f711c8e06fdeac69-0-2de08adc256dd5f1c25762ca6ebd603431357ae8","8d76b9d1f5e205b8c4449df5f711c8e06fdeac69","root.record.ItemExhibitList.P5Item","8d76b9d1f5e205b8c4449df5f711c8e06fdeac69-0-ac4bb59b12b4f1c4eb874e58316ab276f401c09c"
